,author,author_id,can_be_edited,collection_tag,comments,created_at,id,language,listing,listing_id,rating,recipient,recipient_id,response,role,user_flag
0,"{'first_name': 'Travis', 'has_profile_pic': True, 'id': 9306704, 'picture_url': 'https://a0.muscache.com/im/pictures/user/e99b6ef7-f1b0-43db-829a-93ff660a6f36.jpg?aki_policy=profile_x_medium', 'smart_name': 'Travis', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/e99b6ef7-f1b0-43db-829a-93ff660a6f36.jpg?aki_policy=profile_small'}",9306704,False,,"The Red Victorian is a lovely, quaint, quirky space in the Haight. Itâ€™s safe, quiet and clean. I had the Golden Gate Private room which was lovely. The sink in the bedroom was especially nice and minimized my time in the bathroom. 

Thanks to all who run that lovely gem in SF! 

Iâ€™ll be back ðŸ˜‰",2018-09-07T21:57:14Z,319958398,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,5,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
1,"{'first_name': 'Drew', 'has_profile_pic': True, 'id': 28065065, 'picture_url': 'https://a0.muscache.com/im/users/28065065/profile_pic/1424471414/original.jpg?aki_policy=profile_x_medium', 'smart_name': 'Drew', 'thumbnail_url': 'https://a0.muscache.com/im/users/28065065/profile_pic/1424471414/original.jpg?aki_policy=profile_small'}",28065065,False,,Awesome place! Awesome staff! Great location!!,2018-09-04T21:37:35Z,318876388,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,4,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
2,"{'first_name': 'Yesselynn', 'has_profile_pic': True, 'id': 133785737, 'picture_url': 'https://a0.muscache.com/im/pictures/49ec521b-ec49-4aae-aecf-4ef77268c150.jpg?aki_policy=profile_x_medium', 'smart_name': 'Yesselynn', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/49ec521b-ec49-4aae-aecf-4ef77268c150.jpg?aki_policy=profile_small'}",133785737,False,,"Highly recommend this place to anyone looking to escape the usual tourist vibe and stay. 
It has hidden treasures to explore within the building, the accommodations are great, and you can call this place home with no hesitation during your stay. 
I will definitely make this my Haight home when I visit every time.",2018-09-02T20:43:30Z,317823733,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,5,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
3,"{'first_name': 'Samantha', 'has_profile_pic': True, 'id': 31430144, 'picture_url': 'https://a0.muscache.com/im/users/31430144/profile_pic/1429322713/original.jpg?aki_policy=profile_x_medium', 'smart_name': 'Samantha', 'thumbnail_url': 'https://a0.muscache.com/im/users/31430144/profile_pic/1429322713/original.jpg?aki_policy=profile_small'}",31430144,False,,Beautiful room and lovely building! Everything was kept nice and clean and we felt right at home during our stay. Everyone we met was super friendly and helpful (shout out to David for the sight-seeing tips!) We had so much fun and would definitely stay here again :) ,2018-08-17T21:20:53Z,309130022,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,5,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
4,"{'first_name': 'Ellen', 'has_profile_pic': False, 'id': 203433702, 'picture_url': 'https://a0.muscache.com/defaults/user_pic-225x225.png?v=3', 'smart_name': 'Ellen', 'thumbnail_url': 'https://a0.muscache.com/defaults/user_pic-50x50.png?v=3'}",203433702,False,,Amazing location and super cool interior. ,2018-08-13T23:02:40Z,307166466,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,5,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
5,"{'first_name': 'Emily', 'has_profile_pic': True, 'id': 46733417, 'picture_url': 'https://a0.muscache.com/im/pictures/eb32e21b-c3db-40b9-b1c7-acc56c9ef7db.jpg?aki_policy=profile_x_medium', 'smart_name': 'Emily', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/eb32e21b-c3db-40b9-b1c7-acc56c9ef7db.jpg?aki_policy=profile_small'}",46733417,False,,"Commune is right - everything is shared and everyone pitches in to run the hostel! Very fun idea to experience, so not your normal hostel but very welcoming and cool! Would call it somewhere between a hostel and a B&B - where you have run of the kitchen. Guests seem a little second to the people who regularly live in the house but thatâ€™s expected as youâ€™re staying in their home. Cleaning service came every day & made the bed & cleaned our area. Fun fact about the room - we had our own sink so that made getting ready so easy! 
Great location to the rest of SF and easy to get to all the key neighborhoods. ",2018-08-10T23:35:15Z,305111384,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,4,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
6,"{'first_name': 'Sarah', 'has_profile_pic': True, 'id': 190789550, 'picture_url': 'https://a0.muscache.com/im/pictures/user/69da492e-62c9-46e9-abbe-b10449306e2f.jpg?aki_policy=profile_x_medium', 'smart_name': 'Sarah', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/69da492e-62c9-46e9-abbe-b10449306e2f.jpg?aki_policy=profile_small'}",190789550,False,,This place is a must stay on Haight Street. The Red Victorian has so many unique and friendly guests. Donâ€™t miss out! ,2018-08-07T21:39:57Z,303595091,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,5,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
7,"{'first_name': 'Rosalina', 'has_profile_pic': True, 'id': 115850958, 'picture_url': 'https://a0.muscache.com/im/pictures/dc6757e5-4410-4f18-982f-a007d618f049.jpg?aki_policy=profile_x_medium', 'smart_name': 'Rosalina', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/dc6757e5-4410-4f18-982f-a007d618f049.jpg?aki_policy=profile_small'}",115850958,False,,"I like this place because of the history,close to Jerry Garcia home and Janis Joplin great memories.",2018-08-05T22:06:37Z,302583941,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,5,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
8,"{'first_name': 'Nicholas', 'has_profile_pic': True, 'id': 148862477, 'picture_url': 'https://a0.muscache.com/im/pictures/user/6e91c7df-ab25-4428-aaed-601a49cae076.jpg?aki_policy=profile_x_medium', 'smart_name': 'Nicholas', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/6e91c7df-ab25-4428-aaed-601a49cae076.jpg?aki_policy=profile_small'}",148862477,False,,Perfect as always.  Thanks again!,2018-08-03T20:17:34Z,301137579,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,5,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
9,"{'first_name': 'Sophia', 'has_profile_pic': True, 'id': 173754091, 'picture_url': 'https://a0.muscache.com/im/pictures/user/53993087-49bc-4a13-8c9b-c134daf73e48.jpg?aki_policy=profile_x_medium', 'smart_name': 'Sophia', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/53993087-49bc-4a13-8c9b-c134daf73e48.jpg?aki_policy=profile_small'}",173754091,False,,"We absolutely loved our stay at the Red Victorian. The room was amazing and the community was so welcoming. Dave made us feel completely at home and we are so glad we got the chance to share a little piece of this beautiful home for a couple of days. We had zero complaints! If you have he opportunity to stay here, donâ€™t think twice, itâ€™s 100% worth it! ",2018-07-25T23:05:05Z,296433115,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,5,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
10,"{'first_name': 'Oleg', 'has_profile_pic': True, 'id': 5346642, 'picture_url': 'https://a0.muscache.com/im/users/5346642/profile_pic/1362583638/original.jpg?aki_policy=profile_x_medium', 'smart_name': 'Oleg', 'thumbnail_url': 'https://a0.muscache.com/im/users/5346642/profile_pic/1362583638/original.jpg?aki_policy=profile_small'}",5346642,False,,"My wife and daughter stayed there for several days. Initially they were not sure what to expect from this place but it turned out to be a great experience. Community dinner was fun. Location was great; soulful streets, great food, nice park nearby and convenient public transportation.",2018-07-23T22:41:18Z,295590095,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,5,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
11,"{'first_name': 'Marsha', 'has_profile_pic': False, 'id': 198434323, 'picture_url': 'https://a0.muscache.com/defaults/user_pic-225x225.png?v=3', 'smart_name': 'Marsha', 'thumbnail_url': 'https://a0.muscache.com/defaults/user_pic-50x50.png?v=3'}",198434323,False,,Good location. ,2018-07-19T22:34:29Z,293177642,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,3,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
12,"{'first_name': 'Martin', 'has_profile_pic': True, 'id': 13563283, 'picture_url': 'https://a0.muscache.com/im/pictures/69c42152-9780-4fde-a8ce-059c1ad9ad0d.jpg?aki_policy=profile_x_medium', 'smart_name': 'Martin', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/69c42152-9780-4fde-a8ce-059c1ad9ad0d.jpg?aki_policy=profile_small'}",13563283,False,,A really interesting hostel with a lot of personal touches and interesting decor! Since itâ€™s a hostel there are tons of interesting people to chat with. Itâ€™s also really well located and has a great staff!!!,2018-07-15T20:35:56Z,291336400,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,5,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
13,"{'first_name': 'Kevin', 'has_profile_pic': True, 'id': 47593199, 'picture_url': 'https://a0.muscache.com/im/pictures/3203d39e-8f85-46f4-9427-feb8cf011554.jpg?aki_policy=profile_x_medium', 'smart_name': 'Kevin', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/3203d39e-8f85-46f4-9427-feb8cf011554.jpg?aki_policy=profile_small'}",47593199,False,,We loved this AirBnB. Itâ€™s in an historic well maintained building. The room was decorated very 60â€™s and artistic. The hallways are lit up and night with multicolored LED lights...looks beautiful & funky and highlights the uniqueness of this AirBNB. It doesnâ€™t have a private bathroom but has a sink in the room which is very nice. It was our first AirBnB with a shared bathroom. There are residence in the building that leave their stuff in them. The bathrooms were clean though and there seemed to be enough of them. There was a large tv on the room but it wasnâ€™t connected to anything. We didnâ€™t mind though. We just relaxed and went out exploring. The room is on the front of the building and we did hear a lot of street noise because we had the window open. A sleeping pill or ear plugs solves the problem. Itâ€™s just the usual sounds of a vibrant city. It was also our first experience staying in an AirBnB without ever meeting a host and without keys. They give you a code to get into the front door and a code to your room. It was kind of nice not having to worry about misplacing keys. We did have one question about something that we messaged the host group about when we got home. Michael was very helpful and got back to us with an answer very quickly. Thanks Michael and group! Weâ€™d definitely stay here again.,2018-07-10T21:40:29Z,288808086,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,4,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
14,"{'first_name': 'Nicholas', 'has_profile_pic': True, 'id': 148862477, 'picture_url': 'https://a0.muscache.com/im/pictures/user/6e91c7df-ab25-4428-aaed-601a49cae076.jpg?aki_policy=profile_x_medium', 'smart_name': 'Nicholas', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/6e91c7df-ab25-4428-aaed-601a49cae076.jpg?aki_policy=profile_small'}",148862477,False,,"As usual, everything was perfect.  Thank you!",2018-06-08T21:43:23Z,274275823,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,5,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
15,"{'first_name': 'Ally', 'has_profile_pic': False, 'id': 56696315, 'picture_url': 'https://a0.muscache.com/defaults/user_pic-225x225.png?v=3', 'smart_name': 'Ally', 'thumbnail_url': 'https://a0.muscache.com/defaults/user_pic-50x50.png?v=3'}",56696315,False,,Prime location and a really cool space. Micheal and Tobin were very responsive and helpful. Overall great experience staying there,2018-05-29T20:20:54Z,270595520,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,5,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
16,"{'first_name': 'Shashank', 'has_profile_pic': True, 'id': 25619804, 'picture_url': 'https://a0.muscache.com/im/pictures/72bcbafc-cbfb-48ec-bf57-d137fa32a089.jpg?aki_policy=profile_x_medium', 'smart_name': 'Shashank', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/72bcbafc-cbfb-48ec-bf57-d137fa32a089.jpg?aki_policy=profile_small'}",25619804,False,,Everything was as described. Tobie helped with the check-in at 1am which was pretty impressive and so helpful. And entering room was like entering an art studio. Will return for sure.,2018-05-22T20:17:09Z,267758347,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,5,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
17,"{'first_name': 'Cecilia', 'has_profile_pic': True, 'id': 179649631, 'picture_url': 'https://a0.muscache.com/im/pictures/user/cf4dd9e2-7b80-42b9-b9e4-42b85c133147.jpg?aki_policy=profile_x_medium', 'smart_name': 'Cecilia', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/cf4dd9e2-7b80-42b9-b9e4-42b85c133147.jpg?aki_policy=profile_small'}",179649631,False,,"Great location, in the center of all the restaurants and shops I needed. my lyfts and Uberâ€™s were all under 5$ since this Airbnb was so close to everything! I was invited to join them for their communal dinner which I thought was extremely nice <3",2018-05-17T20:04:17Z,265579219,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,5,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
18,"{'first_name': 'Colleen', 'has_profile_pic': True, 'id': 7596722, 'picture_url': 'https://a0.muscache.com/im/pictures/user/c4e0b697-d35c-4771-8d62-0776510ad09b.jpg?aki_policy=profile_x_medium', 'smart_name': 'Colleen', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/c4e0b697-d35c-4771-8d62-0776510ad09b.jpg?aki_policy=profile_small'}",7596722,False,,"I stayed here for fun on my Birthday and loved it. The rooms are all unique with artistic and musical touches, from Records and books to art and bathroom spaces. Canâ€™t beat the location for discovering the Haight! Loved it!",2018-05-16T21:52:18Z,265330624,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,5,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
19,"{'first_name': 'Kevin', 'has_profile_pic': True, 'id': 40229918, 'picture_url': 'https://a0.muscache.com/im/users/40229918/profile_pic/1439055915/original.jpg?aki_policy=profile_x_medium', 'smart_name': 'Kevin', 'thumbnail_url': 'https://a0.muscache.com/im/users/40229918/profile_pic/1439055915/original.jpg?aki_policy=profile_small'}",40229918,False,,"Great place, fascinating location!",2018-05-10T20:31:17Z,262975055,en,"{'id': 17696905, 'name': 'Golden Gate - Private Bedroom in Warm Community'}",17696905,5,"{'first_name': 'Tobie', 'has_profile_pic': True, 'id': 117141107, 'picture_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_x_medium', 'smart_name': 'Tobie', 'thumbnail_url': 'https://a0.muscache.com/im/pictures/user/5610f2fc-4cc1-4218-b680-2f28588d0127.jpg?aki_policy=profile_small'}",117141107,,guest,
